INFORME DE VENTAS TOTALES;Período: 1/9/2024 - 31/12/2024;;;;;
Septiembre '24;12/9/2024;Chocolate MAPSA;Unidades;3.00;0.00;67800.00
Septiembre '24;26/9/2024;Chocolate MAPSA;Unidades;2.00;0.00;45200.00
Septiembre '24;20/9/2024;Chocolate MAPSA;Unidades;1.00;0.00;22600.00
Septiembre '24;19/9/2024;Chocolate MAPSA;Unidades;5.00;0.00;113000.00
Noviembre '24;28/11/2024;Mate Natura;Sobres;4.00;0.00;13560.00
Noviembre '24;28/11/2024;Mate Natura;Sobres;5.00;0.00;16950.00
Noviembre '24;27/11/2024;Mate Natura;Sobres;3.00;0.00;10170.00
Octubre '24;24/10/2024;Mate Natura;Sobres;5.00;0.00;16950.00
Octubre '24;24/10/2024;Mate Natura;Sobres;1.00;0.00;3390.00
Octubre '24;1/10/2024;Mate Natura;Sobres;5.00;0.00;16950.00
Diciembre '24;4/12/2024;Portasobres;Unidades;3.00;0.00;8475.00
Octubre '24;5/10/2024;Mate Natura;Sobres;3.00;0.00;10170.00
Septiembre '24;6/9/2024;Chocolate MAPSA;Unidades;5.00;0.00;113000.00
Septiembre '24;27/9/2024;Chocolate MAPSA;Unidades;4.00;0.00;90400.00
Septiembre '24;21/9/2024;Chocolate MAPSA;Unidades;4.00;0.00;90400.00
Octubre '24;10/10/2024;Mate Natura;Sobres;1.00;0.00;3390.00
Septiembre '24;28/9/2024;Mate Natura;Sobres;1.00;0.00;3390.00
Septiembre '24;26/9/2024;Mate Natura;Sobres;3.00;0.00;10170.00
Septiembre '24;22/9/2024;Mate Natura;Sobres;4.00;0.00;13560.00
Septiembre '24;18/9/2024;Mate Natura;Sobres;1.00;0.00;3390.00
Septiembre '24;17/9/2024;Mate Natura;Sobres;2.00;0.00;6780.00
Septiembre '24;6/9/2024;Mate Natura;Sobres;2.00;0.00;6780.00
Septiembre '24;27/9/2024;Mate Natura;Sobres;1.00;0.00;3390.00
Septiembre '24;21/9/2024;Mate Natura;Sobres;2.00;0.00;6780.00
Septiembre '24;21/9/2024;Mate Natura;Sobres;4.00;0.00;13560.00
Septiembre '24;18/9/2024;Mate Natura;Sobres;1.00;0.00;3390.00
Septiembre '24;13/9/2024;Mate Natura;Sobres;3.00;0.00;10170.00
Septiembre '24;4/9/2024;Mate Natura;Sobres;4.00;0.00;13560.00
Septiembre '24;11/9/2024;Mate Natura;Sobres;5.00;0.00;16950.00
Septiembre '24;27/9/2024;Mate Natura;Sobres;1.00;0.00;3390.00
Septiembre '24;27/9/2024;Mate Natura;Sobres;4.00;0.00;13560.00
Septiembre '24;21/9/2024;Mate Natura;Sobres;5.00;0.00;16950.00
Septiembre '24;13/9/2024;Mate Natura;Sobres;3.00;0.00;10170.00
Septiembre '24;6/9/2024;Mate Natura;Sobres;4.00;0.00;13560.00
Septiembre '24;12/9/2024;Mate Natura;Sobres;4.00;0.00;13560.00
Septiembre '24;21/9/2024;Portasobres;Unidades;3.00;0.00;8475.00
Septiembre '24;18/9/2024;Portasobres;Unidades;5.00;0.00;14125.00
Septiembre '24;13/9/2024;Portasobres;Unidades;1.00;0.00;2825.00
Septiembre '24;4/9/2024;Portasobres;Unidades;5.00;0.00;14125.00
Septiembre '24;6/9/2024;Portasobres;Unidades;3.00;0.00;8475.00
Septiembre '24;9/9/2024;Mate Natura;Sobres;1.00;0.00;3390.00
Septiembre '24;26/9/2024;Mate Natura;Sobres;5.00;0.00;16950.00
Septiembre '24;20/9/2024;Mate Natura;Sobres;5.00;0.00;16950.00
Septiembre '24;19/9/2024;Mate Natura;Sobres;2.00;0.00;6780.00
Noviembre '24;28/11/2024;Portasobres;Unidades;2.00;0.00;5650.00
Noviembre '24;28/11/2024;Portasobres;Unidades;1.00;0.00;2825.00
Noviembre '24;27/11/2024;Portasobres;Unidades;2.00;0.00;5650.00
Octubre '24;24/10/2024;Portasobres;Unidades;2.00;0.00;5650.00
Octubre '24;24/10/2024;Portasobres;Unidades;5.00;0.00;14125.00
Octubre '24;1/10/2024;Portasobres;Unidades;2.00;0.00;5650.00
Octubre '24;5/10/2024;Portasobres;Unidades;1.00;0.00;2825.00
Octubre '24;10/10/2024;Portasobres;Unidades;1.00;0.00;2825.00
Septiembre '24;28/9/2024;Portasobres;Unidades;1.00;0.00;2825.00
Septiembre '24;26/9/2024;Portasobres;Unidades;4.00;0.00;11300.00
Septiembre '24;22/9/2024;Portasobres;Unidades;3.00;0.00;8475.00
Septiembre '24;18/9/2024;Portasobres;Unidades;5.00;0.00;14125.00
Septiembre '24;17/9/2024;Portasobres;Unidades;2.00;0.00;5650.00
Septiembre '24;6/9/2024;Portasobres;Unidades;4.00;0.00;11300.00
Septiembre '24;10/9/2024;Mate Natura;Sobres;2.00;0.00;6780.00
Septiembre '24;27/9/2024;Portasobres;Unidades;1.00;0.00;2825.00
Septiembre '24;21/9/2024;Portasobres;Unidades;1.00;0.00;2825.00
Septiembre '24;10/9/2024;Portasobres;Unidades;3.00;0.00;8475.00
Septiembre '24;10/9/2024;Portasobres;Unidades;5.00;0.00;14125.00
Septiembre '24;11/9/2024;Portasobres;Unidades;4.00;0.00;11300.00
Septiembre '24;27/9/2024;Portasobres;Unidades;4.00;0.00;11300.00
Septiembre '24;27/9/2024;Portasobres;Unidades;4.00;0.00;11300.00
Septiembre '24;21/9/2024;Portasobres;Unidades;5.00;0.00;14125.00
Septiembre '24;13/9/2024;Portasobres;Unidades;2.00;0.00;5650.00
Septiembre '24;9/9/2024;Portasobres;Unidades;4.00;0.00;11300.00
Septiembre '24;10/9/2024;Mate Natura;Sobres;3.00;0.00;10170.00
Septiembre '24;12/9/2024;Portasobres;Unidades;1.00;0.00;2825.00
Septiembre '24;26/9/2024;Portasobres;Unidades;2.00;0.00;5650.00
Septiembre '24;20/9/2024;Portasobres;Unidades;5.00;0.00;14125.00
Septiembre '24;19/9/2024;Portasobres;Unidades;3.00;0.00;8475.00
;;;;;;
RESUMEN;;;;;;
Total Kilos c/Cargo;0.00;;;;;
Facturación Total;0.00;;;;;
