INFORME DE VENTAS TOTALES;Período: 1/1/2024 - 31/12/2024;;
Agosto '24;22/8/2024;Cafe Mezcla;Kilo
Septiembre '24;2/9/2024;Cafe Santos;Kilo
Septiembre '24;2/9/2024;Mate Natura;Sobres
Septiembre '24;3/9/2024;Cafe Mezcla;Kilo
Septiembre '24;26/9/2024;Cafe Mezcla;Kilo
Septiembre '24;2/9/2024;Cafe Mezcla;Kilo
Septiembre '24;24/9/2024;Cafe Mezcla;Kilo
Septiembre '24;23/9/2024;Cafe Mezcla;Kilo
Septiembre '24;14/9/2024;Cafe Mezcla;Kilo
Agosto '24;13/8/2024;Cafe Mezcla;Kilo
Agosto '24;2/8/2024;Cafe Mezcla;Kilo
Agosto '24;2/8/2024;Cafe Santos;Kilo
Agosto '24;2/8/2024;Mate Natura;Sobres
Agosto '24;11/8/2024;Cafe Mezcla;Kilo
Agosto '24;18/8/2024;Cafe Mezcla;Kilo
Agosto '24;17/8/2024;Cafe Mezcla;Kilo
Agosto '24;13/8/2024;Cafe Mezcla;Kilo
Agosto '24;2/8/2024;Cafe Mezcla;Kilo
Julio '24;27/7/2024;Cafe Mezcla;Kilo
Julio '24;15/7/2024;Cafe Mezcla;Kilo
Julio '24;2/7/2024;Cafe Mezcla;Kilo
Julio '24;26/7/2024;Cafe Mezcla;Kilo
Julio '24;22/7/2024;Cafe Mezcla;Kilo
Julio '24;19/7/2024;Cafe Mezcla;Kilo
Julio '24;15/7/2024;Cafe Mezcla;Kilo
Julio '24;2/7/2024;Cafe Mezcla;Kilo
Julio '24;25/7/2024;Cafe Mezcla;Kilo
Julio '24;22/7/2024;Cafe Mezcla;Kilo
Julio '24;19/7/2024;Cafe Mezcla;Kilo
Julio '24;16/7/2024;Cafe Mezcla;Kilo
Julio '24;7/7/2024;Cafe Mezcla;Kilo
Julio '24;21/7/2024;Cafe Mezcla;Kilo
Julio '24;16/7/2024;Cafe Mezcla;Kilo
Mayo '24;1/5/2024;Cafe Mezcla;Kilo
Julio '24;3/7/2024;Cafe Mezcla;Kilo
Julio '24;5/7/2024;Cafe Mezcla;Kilo
Julio '24;7/7/2024;Cafe Mezcla;Kilo
Junio '24;22/6/2024;Cafe Mezcla;Kilo
Mayo '24;24/5/2024;Cafe Mezcla;Kilo
Mayo '24;21/5/2024;Cafe Mezcla;Kilo
Julio '24;16/7/2024;Cafe Santos;Kilo
Julio '24;7/7/2024;Cafe Santos;Kilo
Julio '24;10/7/2024;Cafe Mezcla;Kilo
Junio '24;22/6/2024;Cafe Mezcla;Kilo
Mayo '24;26/5/2024;Cafe Mezcla;Kilo
Abril '24;17/4/2024;Cafe Mezcla;Kilo
Abril '24;15/4/2024;Cafe Mezcla;Kilo
Marzo '24;27/3/2024;Cafe Mezcla;Kilo
Febrero '24;23/2/2024;Cafe Mezcla;Kilo
Febrero '24;9/2/2024;Cafe Mezcla;Kilo
Febrero '24;17/2/2024;Cafe Mezcla;Kilo
Febrero '24;16/2/2024;Cafe Mezcla;Kilo
Febrero '24;15/2/2024;Cafe Mezcla;Kilo
Enero '24;28/1/2024;Cafe Mezcla;Kilo
Enero '24;21/1/2024;Cafe Mezcla;Kilo
Julio '24;2/7/2024;Cafe Santos;Kilo
Julio '24;26/7/2024;Cafe Santos;Kilo
Julio '24;22/7/2024;Cafe Santos;Kilo
Julio '24;2/7/2024;Cafe Santos;Kilo
Julio '24;25/7/2024;Cafe Santos;Kilo
Julio '24;22/7/2024;Cafe Santos;Kilo
Julio '24;2/7/2024;Mate Natura;Sobres
Julio '24;3/7/2024;Cafe Mezcla;Kilo
Julio '24;15/7/2024;Cafe Mezcla;Kilo
Julio '24;24/7/2024;Cafe Santos;Kilo
Julio '24;2/7/2024;Mate Natura;Sobres
Agosto '24;2/8/2024;Cafe Santos;Kilo
Agosto '24;2/8/2024;Mate Natura;Sobres
Julio '24;3/7/2024;Cafe Santos;Kilo
Julio '24;4/7/2024;Cafe Mezcla;Kilo
Julio '24;4/7/2024;Cafe Santos;Kilo
Julio '24;4/7/2024;Mate Natura;Sobres
Julio '24;6/7/2024;Cafe Mezcla;Kilo
Julio '24;6/7/2024;Cafe Mezcla;Kilo
Julio '24;6/7/2024;Cafe Santos;Kilo
Julio '24;6/7/2024;Mate Natura;Sobres
Agosto '24;11/8/2024;Cafe Mezcla;Kilo
Agosto '24;11/8/2024;Cafe Santos;Kilo
Agosto '24;11/8/2024;Cafe Santos;Kilo
Agosto '24;12/8/2024;Cafe Mezcla;Kilo
Julio '24;24/7/2024;Cafe Mezcla;Kilo
Diciembre '24;19/12/2024;Cafe Santos;Kilo
Noviembre '24;20/11/2024;Cafe Santos;Kilo
Noviembre '24;1/11/2024;Cafe Santos;Kilo
Septiembre '24;2/9/2024;Cafe Santos;Kilo
Septiembre '24;3/9/2024;Cafe Santos;Kilo
Septiembre '24;4/9/2024;Cafe Mezcla;Kilo
Septiembre '24;4/9/2024;Cafe Santos;Kilo
Septiembre '24;11/9/2024;Cafe Mezcla;Kilo
Septiembre '24;26/9/2024;Cafe Santos;Kilo
Septiembre '24;23/9/2024;Cafe Santos;Kilo
Septiembre '24;14/9/2024;Cafe Santos;Kilo
Septiembre '24;3/9/2024;Mate Natura;Sobres
Octubre '24;3/10/2024;Cafe Santos;Kilo
Octubre '24;3/10/2024;Mate Natura;Sobres
Septiembre '24;6/9/2024;Cafe Mezcla;Kilo
Noviembre '24;6/11/2024;Cafe Santos;Kilo
Septiembre '24;11/9/2024;Cafe Mezcla;Kilo
Octubre '24;23/10/2024;Cafe Santos;Kilo
Octubre '24;21/10/2024;Cafe Santos;Kilo
Octubre '24;14/10/2024;Cafe Santos;Kilo
Septiembre '24;27/9/2024;Cafe Santos;Kilo
Septiembre '24;23/9/2024;Cafe Santos;Kilo
Septiembre '24;19/9/2024;Cafe Santos;Kilo
Septiembre '24;11/9/2024;Cafe Santos;Kilo
Septiembre '24;24/9/2024;Cafe Santos;Kilo
Septiembre '24;19/9/2024;Cafe Santos;Kilo
Diciembre '24;19/12/2024;Mate Natura;Sobres
Noviembre '24;20/11/2024;Mate Natura;Sobres
Noviembre '24;1/11/2024;Mate Natura;Sobres
Septiembre '24;2/9/2024;Mate Natura;Sobres
Septiembre '24;4/9/2024;Mate Natura;Sobres
Septiembre '24;6/9/2024;Cafe Santos;Kilo
Septiembre '24;6/9/2024;Mate Natura;Sobres
Noviembre '24;6/11/2024;Mate Natura;Sobres
Septiembre '24;11/9/2024;Cafe Santos;Kilo
Octubre '24;12/10/2024;Cafe Santos;Kilo
Septiembre '24;24/9/2024;Cafe Santos;Kilo
Septiembre '24;12/9/2024;Cafe Santos;Kilo
Septiembre '24;24/9/2024;Cafe Santos;Kilo
Septiembre '24;13/9/2024;Cafe Santos;Kilo
Septiembre '24;12/9/2024;Cafe Santos;Kilo
Agosto '24;27/8/2024;Cafe Santos;Kilo
Agosto '24;24/8/2024;Cafe Santos;Kilo
Agosto '24;23/8/2024;Cafe Santos;Kilo
Agosto '24;17/8/2024;Cafe Santos;Kilo
Agosto '24;27/8/2024;Cafe Santos;Kilo
Agosto '24;17/8/2024;Cafe Santos;Kilo
Agosto '24;16/8/2024;Cafe Santos;Kilo
Agosto '24;14/8/2024;Cafe Santos;Kilo
Agosto '24;13/8/2024;Cafe Santos;Kilo
Agosto '24;18/8/2024;Cafe Santos;Kilo
Agosto '24;17/8/2024;Cafe Santos;Kilo
Agosto '24;13/8/2024;Cafe Santos;Kilo
Julio '24;27/7/2024;Cafe Santos;Kilo
Julio '24;15/7/2024;Cafe Santos;Kilo
Agosto '24;11/8/2024;Mate Natura;Sobres
Agosto '24;11/8/2024;Mate Natura;Sobres
Agosto '24;12/8/2024;Cafe Santos;Kilo
Julio '24;19/7/2024;Cafe Santos;Kilo
Julio '24;15/7/2024;Cafe Santos;Kilo
Julio '24;15/7/2024;Cafe Santos;Kilo
Julio '24;19/7/2024;Cafe Santos;Kilo
Septiembre '24;24/9/2024;Mate Natura;Sobres
Septiembre '24;13/9/2024;Mate Natura;Sobres
Septiembre '24;7/9/2024;Mate Natura;Sobres
Septiembre '24;12/9/2024;Mate Natura;Sobres
Agosto '24;27/8/2024;Mate Natura;Sobres
Agosto '24;24/8/2024;Mate Natura;Sobres
Agosto '24;23/8/2024;Mate Natura;Sobres
Agosto '24;14/8/2024;Mate Natura;Sobres
Agosto '24;6/8/2024;Mate Natura;Sobres
Agosto '24;10/8/2024;Cafe Santos;Kilo
Agosto '24;12/8/2024;Cafe Santos;Kilo
Agosto '24;23/8/2024;Cafe Santos;Kilo
Agosto '24;22/8/2024;Cafe Santos;Kilo
Agosto '24;21/8/2024;Cafe Santos;Kilo
Agosto '24;13/8/2024;Cafe Santos;Kilo
Octubre '24;23/10/2024;Mate Natura;Sobres
Octubre '24;21/10/2024;Mate Natura;Sobres
Octubre '24;14/10/2024;Mate Natura;Sobres
Septiembre '24;11/9/2024;Mate Natura;Sobres
Octubre '24;12/10/2024;Mate Natura;Sobres
Septiembre '24;27/9/2024;Mate Natura;Sobres
Septiembre '24;23/9/2024;Mate Natura;Sobres
Septiembre '24;19/9/2024;Mate Natura;Sobres
Septiembre '24;26/9/2024;Mate Natura;Sobres
Septiembre '24;24/9/2024;Mate Natura;Sobres
Septiembre '24;19/9/2024;Mate Natura;Sobres
Septiembre '24;11/9/2024;Mate Natura;Sobres
Septiembre '24;24/9/2024;Mate Natura;Sobres
Septiembre '24;23/9/2024;Mate Natura;Sobres
Septiembre '24;14/9/2024;Mate Natura;Sobres
Septiembre '24;12/9/2024;Mate Natura;Sobres
Agosto '24;17/8/2024;Mate Natura;Sobres
Agosto '24;27/8/2024;Mate Natura;Sobres
Agosto '24;17/8/2024;Mate Natura;Sobres
Agosto '24;16/8/2024;Mate Natura;Sobres
Agosto '24;14/8/2024;Mate Natura;Sobres
Agosto '24;13/8/2024;Mate Natura;Sobres
Agosto '24;10/8/2024;Mate Natura;Sobres
Agosto '24;12/8/2024;Mate Natura;Sobres
Agosto '24;23/8/2024;Mate Natura;Sobres
Agosto '24;22/8/2024;Mate Natura;Sobres
Agosto '24;21/8/2024;Mate Natura;Sobres
Agosto '24;13/8/2024;Mate Natura;Sobres
Agosto '24;18/8/2024;Mate Natura;Sobres
Agosto '24;17/8/2024;Mate Natura;Sobres
Agosto '24;13/8/2024;Mate Natura;Sobres
Agosto '24;12/8/2024;Mate Natura;Sobres
Julio '24;27/7/2024;Mate Natura;Sobres
Julio '24;15/7/2024;Mate Natura;Sobres
Julio '24;3/7/2024;Mate Natura;Sobres
Julio '24;6/7/2024;Cafe Santos;Kilo
Julio '24;21/7/2024;Cafe Santos;Kilo
Julio '24;16/7/2024;Cafe Santos;Kilo
Mayo '24;1/5/2024;Cafe Santos;Kilo
Mayo '24;1/5/2024;Mate Natura;Sobres
Julio '24;3/7/2024;Cafe Santos;Kilo
Julio '24;5/7/2024;Cafe Santos;Kilo
Julio '24;7/7/2024;Cafe Santos;Kilo
Enero '24;8/1/2024;Cafe Mezcla;Kilo
Junio '24;22/6/2024;Cafe Santos;Kilo
Junio '24;22/6/2024;Cafe Santos;Kilo
Mayo '24;26/5/2024;Cafe Santos;Kilo
Mayo '24;24/5/2024;Cafe Santos;Kilo
Mayo '24;21/5/2024;Cafe Santos;Kilo
Abril '24;17/4/2024;Cafe Santos;Kilo
Abril '24;15/4/2024;Cafe Santos;Kilo
Marzo '24;27/3/2024;Cafe Santos;Kilo
Febrero '24;23/2/2024;Cafe Santos;Kilo
Julio '24;26/7/2024;Mate Natura;Sobres
Julio '24;22/7/2024;Mate Natura;Sobres
Julio '24;19/7/2024;Mate Natura;Sobres
Julio '24;15/7/2024;Mate Natura;Sobres
Julio '24;15/7/2024;Mate Natura;Sobres
Julio '24;6/7/2024;Mate Natura;Sobres
Julio '24;25/7/2024;Mate Natura;Sobres
Julio '24;24/7/2024;Mate Natura;Sobres
Julio '24;22/7/2024;Mate Natura;Sobres
Julio '24;19/7/2024;Mate Natura;Sobres
Julio '24;16/7/2024;Mate Natura;Sobres
Julio '24;3/7/2024;Mate Natura;Sobres
Julio '24;5/7/2024;Mate Natura;Sobres
Julio '24;7/7/2024;Mate Natura;Sobres
Julio '24;7/7/2024;Mate Natura;Sobres
Enero '24;8/1/2024;Cafe Santos;Kilo
Enero '24;8/1/2024;Mate Natura;Sobres
Febrero '24;9/2/2024;Cafe Santos;Kilo
Julio '24;10/7/2024;Cafe Santos;Kilo
Febrero '24;17/2/2024;Cafe Santos;Kilo
Febrero '24;16/2/2024;Cafe Santos;Kilo
Febrero '24;15/2/2024;Cafe Santos;Kilo
Enero '24;28/1/2024;Cafe Santos;Kilo
Enero '24;21/1/2024;Cafe Santos;Kilo
Julio '24;21/7/2024;Mate Natura;Sobres
Julio '24;16/7/2024;Mate Natura;Sobres
Julio '24;10/7/2024;Mate Natura;Sobres
Junio '24;22/6/2024;Mate Natura;Sobres
Junio '24;22/6/2024;Mate Natura;Sobres
Mayo '24;26/5/2024;Mate Natura;Sobres
Mayo '24;24/5/2024;Mate Natura;Sobres
Mayo '24;21/5/2024;Mate Natura;Sobres
Abril '24;17/4/2024;Mate Natura;Sobres
Abril '24;15/4/2024;Mate Natura;Sobres
Marzo '24;27/3/2024;Mate Natura;Sobres
Febrero '24;23/2/2024;Mate Natura;Sobres
Febrero '24;9/2/2024;Mate Natura;Sobres
Febrero '24;17/2/2024;Mate Natura;Sobres
Febrero '24;16/2/2024;Mate Natura;Sobres
Febrero '24;15/2/2024;Mate Natura;Sobres
Enero '24;28/1/2024;Mate Natura;Sobres
Enero '24;21/1/2024;Mate Natura;Sobres
RESUMEN;;;
Total Kilos c/Cargo;580.00;;
Facturación Total;0.00;;
